"","btype","X","exp","dependent","model","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"1","office","R2","E1","SOURCE_EUI","Reg",1,"meanCent",628,7,7,0.199,0.191,14663.462,121.093,76.829,0.678
"2","office","R21","E1","SOURCE_EUI","Reg",1,"meanCent_logDV",628,7,7,0.235,0.227,16268.599,127.548,76.902,0.573
"3","office","R22","E1","SOURCE_ENERGY","Reg",1,"meanCent",628,7,7,0.665,0.662,19403030068049.8,4404887.066,1798946.626,1.296
"4","office","R23","E1","SOURCE_ENERGY","Reg",1,"meanCent_logDV",628,7,7,0.582,0.578,607217641372872,24641786.489,6571600.598,1.153
"5","office","R28","E2","SOURCE_EUI","RegInt",2,"meanCent",628,22,22,0.231,0.204,14404.903,120.02,76.411,0.669
"6","office","R215","E2","SOURCE_EUI","RegInt",2,"meanCent_logDV",628,22,22,0.268,0.242,16194.667,127.258,77.017,0.558
"7","office","R225","E2","SOURCE_ENERGY","RegInt",2,"meanCent",628,22,22,0.744,0.735,13968248558407.4,3737412.013,1571919.003,0.703
"8","office","R235","E2","SOURCE_ENERGY","RegInt",2,"meanCent_logDV",628,22,22,0.604,0.59,2215581284827274,47069961.598,8697486.026,1.101
"9","office","R24","E2","SOURCE_EUI","RegInt",3,"meanCent",628,42,42,0.263,0.212,14175.874,119.062,75.766,0.669
"10","office","R211","E2","SOURCE_EUI","RegInt",3,"meanCent_logDV",628,42,42,0.286,0.236,16004.033,126.507,76.782,0.553
"11","office","R221","E2","SOURCE_ENERGY","RegInt",3,"meanCent",628,42,42,0.759,0.742,11733101712674.2,3425361.545,1545050.396,0.716
"12","office","R231","E2","SOURCE_ENERGY","RegInt",3,"meanCent_logDV",628,42,42,0.615,0.588,101892133039718848,319205471.507,19747620.477,1.223
"13","office","R25","E2","SOURCE_EUI","RegInt",4,"meanCent",628,57,57,0.29,0.22,15166.918,123.154,76.648,0.678
"14","office","R212","E2","SOURCE_EUI","RegInt",4,"meanCent_logDV",628,57,57,0.299,0.23,18720.33,136.822,78.906,0.56
"15","office","R222","E2","SOURCE_ENERGY","RegInt",4,"meanCent",628,57,57,0.78,0.758,9612173537752.34,3100350.551,1465597.12,0.761
"16","office","R232","E2","SOURCE_ENERGY","RegInt",4,"meanCent_logDV",628,57,57,0.623,0.586,2035614568460002,45117785.5,8059408.706,1.104
"17","office","R26","E2","SOURCE_EUI","RegInt",5,"meanCent",628,63,63,0.305,0.229,15061.223,122.724,75.819,0.666
"18","office","R213","E2","SOURCE_EUI","RegInt",5,"meanCent_logDV",628,63,63,0.315,0.24,17943.544,133.954,78.305,0.552
"19","office","R223","E2","SOURCE_ENERGY","RegInt",5,"meanCent",628,63,63,0.782,0.758,9438226185380.96,3072169.622,1461917.526,0.743
"20","office","R233","E2","SOURCE_ENERGY","RegInt",5,"meanCent_logDV",628,63,63,0.631,0.59,2475552598717868,49754925.371,7577896.01,1.074
"21","office","R27","E2","SOURCE_EUI","RegInt",6,"meanCent",628,64,64,0.306,0.228,15067.813,122.751,75.856,0.667
"22","office","R214","E2","SOURCE_EUI","RegInt",6,"meanCent_logDV",628,64,64,0.315,0.239,17924.189,133.881,78.265,0.552
"23","office","R224","E2","SOURCE_ENERGY","RegInt",6,"meanCent",628,64,64,0.782,0.757,9436466680306.79,3071883.247,1459930.368,0.746
"24","office","R234","E2","SOURCE_ENERGY","RegInt",6,"meanCent_logDV",628,64,64,0.632,0.591,2477010870466431,49769577.761,7562798.899,1.069
"25","office","R29","E3a","SOURCE_EUI","rpart",1,"meanCent",628,0,0,0,0.002,17658.89,132.887,86.868,0.806
"26","office","R216","E3a","SOURCE_EUI","rpart",1,"meanCent_logDV",628,7,7,0.144,0.136,18622.474,136.464,84.656,0.579
"27","office","R226","E3a","SOURCE_ENERGY","rpart",1,"meanCent",628,7,7,0.794,0.792,15111285040533.4,3887323.635,1558605.534,0.586
"28","office","R236","E3a","SOURCE_ENERGY","rpart",1,"meanCent_logDV",628,7,7,0.741,0.739,16825089453021.5,4101839.764,1498978.784,0.473
"29","office","R210","E3b","SOURCE_EUI","xgboost",1,"meanCent",628,6,6,0.244,0.238,14354.263,119.809,75.802,0.643
"30","office","R217","E3b","SOURCE_EUI","xgboost",1,"meanCent_logDV",628,7,7,0,-0.01,46286.505,215.143,170.908,0.954
"31","office","R227","E3b","SOURCE_ENERGY","xgboost",1,"meanCent",628,7,7,0.876,0.875,5425856746751.72,2329346.85,1205673.516,0.706
"32","office","R237","E3b","SOURCE_ENERGY","xgboost",1,"meanCent_logDV",628,6,6,0,-0.008,64408149111792.7,8025468.778,4049926.215,1
"33","retail","R2","E1","SOURCE_EUI","Reg",1,"meanCent",179,9,9,0.776,0.766,6910.967,83.132,59.508,0.387
"34","retail","R21","E1","SOURCE_EUI","Reg",1,"meanCent_logDV",179,9,9,0.648,0.631,10446.259,102.207,69.701,0.383
"35","retail","R22","E1","SOURCE_ENERGY","Reg",1,"meanCent",179,9,9,0.866,0.86,59363941911727.2,7704799.927,4416239.516,0.838
"36","retail","R23","E1","SOURCE_ENERGY","Reg",1,"meanCent_logDV",179,9,9,0.764,0.753,8.74680631805483e+21,93524362163.315,7020619857.396,60.582
"37","retail","R210","E2","SOURCE_EUI","RegInt",2,"meanCent",179,35,37,0.824,0.783,5277.196,72.644,54.353,0.381
"38","retail","R217","E2","SOURCE_EUI","RegInt",2,"meanCent_logDV",179,35,37,0.712,0.644,6904.517,83.093,59.346,0.341
"39","retail","R227","E2","SOURCE_ENERGY","RegInt",2,"meanCent",179,35,37,0.939,0.925,47112345246445.5,6863843.329,3184466.87,0.404
"40","retail","R237","E2","SOURCE_ENERGY","RegInt",2,"meanCent_logDV",179,35,37,0.837,0.799,20461814357379940,143044798.428,24344287.045,0.726
"41","retail","R24","E2","SOURCE_EUI","RegInt",3,"meanCent",179,69,93,0.876,0.799,3553.439,59.611,39.841,0.321
"42","retail","R211","E2","SOURCE_EUI","RegInt",3,"meanCent_logDV",179,69,93,0.77,0.627,4096.338,64.003,41.464,0.287
"43","retail","R221","E2","SOURCE_ENERGY","RegInt",3,"meanCent",179,69,93,0.962,0.939,41526279726864.9,6444088.743,2508465.835,0.407
"44","retail","R231","E2","SOURCE_ENERGY","RegInt",3,"meanCent_logDV",179,69,93,0.879,0.804,15483710644643260,124433559.158,14984352.235,0.49
"45","retail","R25","E2","SOURCE_EUI","RegInt",4,"meanCent",179,84,163,0.884,0.782,3397.248,58.286,38.558,0.318
"46","retail","R212","E2","SOURCE_EUI","RegInt",4,"meanCent_logDV",179,84,163,0.785,0.598,3601.661,60.014,38.656,0.273
"47","retail","R222","E2","SOURCE_ENERGY","RegInt",4,"meanCent",179,84,163,0.968,0.94,38395037286892.6,6196372.914,2295504.684,0.384
"48","retail","R232","E2","SOURCE_ENERGY","RegInt",4,"meanCent_logDV",179,84,163,0.897,0.807,2471339892743868,49712572.783,7903820.139,0.379
"49","retail","R26","E2","SOURCE_EUI","RegInt",5,"meanCent",179,90,219,0.886,0.772,3132.525,55.969,36.851,0.308
"50","retail","R213","E2","SOURCE_EUI","RegInt",5,"meanCent_logDV",179,90,219,0.792,0.584,3251.508,57.022,37.333,0.261
"51","retail","R223","E2","SOURCE_ENERGY","RegInt",5,"meanCent",179,90,219,0.974,0.948,32196545412352.5,5674199.98,2020320.032,0.379
"52","retail","R233","E2","SOURCE_ENERGY","RegInt",5,"meanCent_logDV",179,90,219,0.902,0.803,2065480640436532,45447559.235,7158927.07,0.355
"53","retail","R27","E2","SOURCE_EUI","RegInt",6,"meanCent",179,91,247,0.886,0.769,3135.993,56,36.964,0.308
"54","retail","R214","E2","SOURCE_EUI","RegInt",6,"meanCent_logDV",179,91,247,0.792,0.579,3247.16,56.984,37.235,0.26
"55","retail","R224","E2","SOURCE_ENERGY","RegInt",6,"meanCent",179,91,247,0.974,0.947,32223894252026.3,5676609.398,2021816.6,0.378
"56","retail","R234","E2","SOURCE_ENERGY","RegInt",6,"meanCent_logDV",179,91,247,0.902,0.801,2231965712133414,47243684.362,7260728.989,0.356
"57","retail","R28","E2","SOURCE_EUI","RegInt",7,"meanCent",179,91,255,0.886,0.769,3135.993,56,36.964,0.308
"58","retail","R215","E2","SOURCE_EUI","RegInt",7,"meanCent_logDV",179,91,255,0.792,0.579,3247.16,56.984,37.235,0.26
"59","retail","R225","E2","SOURCE_ENERGY","RegInt",7,"meanCent",179,91,255,0.974,0.947,32223894252026.3,5676609.398,2021816.6,0.378
"60","retail","R235","E2","SOURCE_ENERGY","RegInt",7,"meanCent_logDV",179,91,255,0.902,0.801,2231965712133414,47243684.362,7260728.989,0.356
"61","retail","R29","E2","SOURCE_EUI","RegInt",8,"meanCent",179,91,256,0.886,0.769,3135.993,56,36.964,0.308
"62","retail","R216","E2","SOURCE_EUI","RegInt",8,"meanCent_logDV",179,91,256,0.792,0.579,3247.16,56.984,37.235,0.26
"63","retail","R226","E2","SOURCE_ENERGY","RegInt",8,"meanCent",179,91,256,0.974,0.947,32223894252026.3,5676609.398,2021816.6,0.378
"64","retail","R236","E2","SOURCE_ENERGY","RegInt",8,"meanCent_logDV",179,91,256,0.902,0.801,2231965712133414,47243684.362,7260728.989,0.356
"65","retail","R218","E3a","SOURCE_EUI","rpart",1,"meanCent",179,8,8,0.701,0.688,8506.904,92.233,67.848,0.494
"66","retail","R219","E3a","SOURCE_EUI","rpart",1,"meanCent_logDV",179,9,9,0.734,0.722,8120.559,90.114,62.965,0.368
"67","retail","R228","E3a","SOURCE_ENERGY","rpart",1,"meanCent",179,9,9,0.899,0.894,116987995218915,10816098.891,4534213.045,0.447
"68","retail","R238","E3a","SOURCE_ENERGY","rpart",1,"meanCent_logDV",179,9,9,0.906,0.901,109432062812195,10460978.1,4382917.038,0.386
"69","retail","R220","E3b","SOURCE_EUI","xgboost",1,"meanCent",179,9,9,0.825,0.817,5570.28,74.634,53.023,0.353
"70","retail","R2110","E3b","SOURCE_EUI","xgboost",1,"meanCent_logDV",179,9,9,0,-0.047,65904.497,256.719,208.6,0.964
"71","retail","R229","E3b","SOURCE_ENERGY","xgboost",1,"meanCent",179,6,6,0.92,0.918,41425154868241,6436237.633,3605451.326,0.521
"72","retail","R239","E3b","SOURCE_ENERGY","xgboost",1,"meanCent_logDV",179,8,8,0,-0.041,635607433909683,25211256.095,15145225.663,1
"73","k12school","R2","E1","SOURCE_EUI","Reg",1,"meanCent",333,8,8,0.168,0.15,1602.909,40.036,31.4,0.32
"74","k12school","R21","E1","SOURCE_EUI","Reg",1,"meanCent_logDV",333,8,8,0.169,0.151,1646.745,40.58,31.198,0.299
"75","k12school","R22","E1","SOURCE_ENERGY","Reg",1,"meanCent",333,8,8,0.821,0.817,36001169102348,6000097.424,3594345.117,0.421
"76","k12school","R23","E1","SOURCE_ENERGY","Reg",1,"meanCent_logDV",333,8,8,0.669,0.662,2132028081531888,46173889.608,11590995.806,0.573
"77","k12school","R29","E2","SOURCE_EUI","RegInt",2,"meanCent",333,29,29,0.238,0.168,1562.212,39.525,31.267,0.311
"78","k12school","R216","E2","SOURCE_EUI","RegInt",2,"meanCent_logDV",333,29,29,0.262,0.194,1680.415,40.993,31.457,0.292
"79","k12school","R226","E2","SOURCE_ENERGY","RegInt",2,"meanCent",333,29,29,0.845,0.831,31951161597646.3,5652535.855,3457551.825,0.361
"80","k12school","R236","E2","SOURCE_ENERGY","RegInt",2,"meanCent_logDV",333,29,29,0.802,0.784,1507337502196218,38824444.648,7932453.197,0.453
"81","k12school","R24","E2","SOURCE_EUI","RegInt",3,"meanCent",333,64,64,0.397,0.256,1380.918,37.161,29.248,0.291
"82","k12school","R211","E2","SOURCE_EUI","RegInt",3,"meanCent_logDV",333,64,64,0.423,0.287,1425.027,37.75,28.809,0.267
"83","k12school","R221","E2","SOURCE_ENERGY","RegInt",3,"meanCent",333,64,64,0.872,0.841,26888813043307.4,5185442.415,3121463.957,0.321
"84","k12school","R231","E2","SOURCE_ENERGY","RegInt",3,"meanCent_logDV",333,64,64,0.887,0.861,73787725393105.5,8589978.195,4602649.421,0.344
"85","k12school","R25","E2","SOURCE_EUI","RegInt",4,"meanCent",333,98,99,0.526,0.331,1289.252,35.906,26.273,0.265
"86","k12school","R212","E2","SOURCE_EUI","RegInt",4,"meanCent_logDV",333,98,99,0.531,0.338,1353.221,36.786,26.096,0.246
"87","k12school","R222","E2","SOURCE_ENERGY","RegInt",4,"meanCent",333,98,99,0.892,0.847,25083478731767,5008340.916,2946131.7,0.287
"88","k12school","R232","E2","SOURCE_ENERGY","RegInt",4,"meanCent_logDV",333,98,99,0.919,0.885,54586854155433.8,7388291.694,3792539.244,0.296
"89","k12school","R26","E2","SOURCE_EUI","RegInt",5,"meanCent",333,105,120,0.568,0.371,1118.008,33.437,24.435,0.247
"90","k12school","R213","E2","SOURCE_EUI","RegInt",5,"meanCent_logDV",333,105,120,0.577,0.384,1158.09,34.031,23.917,0.225
"91","k12school","R223","E2","SOURCE_ENERGY","RegInt",5,"meanCent",333,105,120,0.907,0.865,22054351217120.1,4696206.045,2776455.888,0.267
"92","k12school","R233","E2","SOURCE_ENERGY","RegInt",5,"meanCent_logDV",333,105,120,0.928,0.896,49190019491762.3,7013559.688,3569526.941,0.274
"93","k12school","R27","E2","SOURCE_EUI","RegInt",6,"meanCent",333,106,127,0.568,0.368,1111.52,33.339,24.413,0.246
"94","k12school","R214","E2","SOURCE_EUI","RegInt",6,"meanCent_logDV",333,106,127,0.578,0.383,1140.083,33.765,23.702,0.223
"95","k12school","R224","E2","SOURCE_ENERGY","RegInt",6,"meanCent",333,106,127,0.907,0.865,21580186406398.4,4645447.923,2775798.771,0.267
"96","k12school","R234","E2","SOURCE_ENERGY","RegInt",6,"meanCent_logDV",333,106,127,0.929,0.896,46473465447303.1,6817144.963,3523264.93,0.272
"97","k12school","R28","E2","SOURCE_EUI","RegInt",7,"meanCent",333,106,128,0.568,0.368,1111.52,33.339,24.413,0.246
"98","k12school","R215","E2","SOURCE_EUI","RegInt",7,"meanCent_logDV",333,106,128,0.578,0.383,1140.083,33.765,23.702,0.223
"99","k12school","R225","E2","SOURCE_ENERGY","RegInt",7,"meanCent",333,106,128,0.907,0.865,21580186406398.4,4645447.923,2775798.771,0.267
"100","k12school","R235","E2","SOURCE_ENERGY","RegInt",7,"meanCent_logDV",333,106,128,0.929,0.896,46473465447303.1,6817144.963,3523264.93,0.272
"101","k12school","R210","E3a","SOURCE_EUI","rpart",1,"meanCent",333,0,0,0,0.003,1803.922,42.473,33.521,0.353
"102","k12school","R217","E3a","SOURCE_EUI","rpart",1,"meanCent_logDV",333,0,0,0,0.003,1874.773,43.299,33.124,0.322
"103","k12school","R227","E3a","SOURCE_ENERGY","rpart",1,"meanCent",333,10,10,0.839,0.834,33599828494890.9,5796535.905,3600006.153,0.462
"104","k12school","R237","E3a","SOURCE_ENERGY","rpart",1,"meanCent_logDV",333,10,10,0.879,0.876,27577008410230.5,5251381.572,3025893.764,0.258
"105","k12school","R218","E3b","SOURCE_EUI","xgboost",1,"meanCent",333,7,7,0.238,0.224,1439.718,37.944,30.044,0.314
"106","k12school","R219","E3b","SOURCE_EUI","xgboost",1,"meanCent_logDV",333,7,7,0,-0.018,13939.223,118.064,110.187,0.953
"107","k12school","R228","E3b","SOURCE_ENERGY","xgboost",1,"meanCent",333,7,7,0.859,0.857,26681313613082.6,5165395.785,3241803.124,0.423
"108","k12school","R238","E3b","SOURCE_ENERGY","xgboost",1,"meanCent_logDV",333,7,7,0,-0.018,358083707394177,18923099.836,13385567.452,1
"109","warehouse","R2","E1","SOURCE_EUI","Reg",1,"meanCent",420,7,7,0.354,0.345,3235.39,56.88,37.001,1.026
"110","warehouse","R21","E1","SOURCE_EUI","Reg",1,"meanCent_logDV",420,7,7,0.321,0.311,3715.921,60.958,36.265,0.786
"111","warehouse","R22","E1","SOURCE_ENERGY","Reg",1,"meanCent",420,7,7,0.515,0.508,144029282608859,12001220.047,5802406.758,2.031
"112","warehouse","R23","E1","SOURCE_ENERGY","Reg",1,"meanCent_logDV",420,7,7,0.444,0.436,14708423853734647808,3835156301.083,416169057.302,10.119
"113","warehouse","R28","E2","SOURCE_EUI","RegInt",2,"meanCent",420,22,22,0.43,0.4,2926.718,54.099,35.517,0.927
"114","warehouse","R215","E2","SOURCE_EUI","RegInt",2,"meanCent_logDV",420,22,22,0.385,0.352,5416,73.593,38.6,0.75
"115","warehouse","R225","E2","SOURCE_ENERGY","RegInt",2,"meanCent",420,22,22,0.716,0.702,98988591279446.7,9949301.045,4465793.387,1.396
"116","warehouse","R235","E2","SOURCE_ENERGY","RegInt",2,"meanCent_logDV",420,22,22,0.546,0.522,1.26335055694282e+20,11239886818.571,932707071.993,38.325
