"btype","X","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"office","R2","C1",1,"Reg","SourceEUI",1065,8,8,0.086,0.08,5363.158,73.234,52.604,0.42
"office","R21","C1",1,"Reg","SourceEnergy",1065,8,8,0.824,0.823,480781674390667,21926734.239,11693722.125,0.466
"office","R27","C2",2,"RegInt","SourceEUI",1065,29,29,0.105,0.081,5251.54,72.468,51.615,0.412
"office","R216","C2",2,"RegInt","SourceEnergy",1065,29,29,0.829,0.824,467357826340450,21618460.314,11433738.467,0.439
"office","R22","C2",3,"RegInt","SourceEUI",1065,59,64,0.134,0.084,5086.054,71.317,50.46,0.401
"office","R211","C2",3,"RegInt","SourceEnergy",1065,59,64,0.839,0.83,439664037216890,20968167.236,11053090.875,0.433
"office","R23","C2",4,"RegInt","SourceEUI",1065,78,99,0.155,0.089,4961.306,70.437,49.534,0.391
"office","R212","C2",4,"RegInt","SourceEnergy",1065,78,99,0.845,0.833,421869149542515,20539453.487,10837870.425,0.423
"office","R24","C2",5,"RegInt","SourceEUI",1065,84,120,0.158,0.087,4942.368,70.302,49.171,0.385
"office","R213","C2",5,"RegInt","SourceEnergy",1065,84,120,0.848,0.835,415657944066759,20387690.994,10675915.405,0.406
"office","R25","C2",6,"RegInt","SourceEUI",1065,84,127,0.158,0.087,4942.368,70.302,49.171,0.385
"office","R214","C2",6,"RegInt","SourceEnergy",1065,84,127,0.848,0.835,415657944066759,20387690.994,10675915.405,0.406
"office","R26","C2",7,"RegInt","SourceEUI",1065,84,128,0.158,0.087,4942.368,70.302,49.171,0.385
"office","R215","C2",7,"RegInt","SourceEnergy",1065,84,128,0.848,0.835,415657944066759,20387690.994,10675915.405,0.406
"office","R28","C3a",1,"rpart","SourceEUI",1065,7,7,0.11,0.105,5223.986,72.277,52.231,0.413
"office","R217","C3a",1,"rpart","SourceEnergy",1065,6,6,0.814,0.813,507747490630634,22533252.997,12597203.73,0.52
"office","R29","C3b",1,"xgboost_default","SourceEUI",1065,7,7,0.12,0.115,4977.426,70.551,50.675,0.4
"office","R218","C3b",1,"xgboost_default","SourceEnergy",1065,6,6,0.836,0.835,434785022974969,20851499.298,11352993.122,0.452
"office","R210","C3b",1,"xgboost_random","SourceEUI",1065,7,7,0.696,0.694,1355.331,36.815,27.146,0.204
"office","R219","C3b",1,"xgboost_random","SourceEnergy",1065,7,7,0.929,0.929,182142929101469,13496033.829,8222850.451,0.359
"retail","R2","C1",1,"Reg","SourceEUI",1065,8,8,0.086,0.08,5363.158,73.234,52.604,0.42
"retail","R21","C1",1,"Reg","SourceEnergy",1065,8,8,0.824,0.823,480781674390667,21926734.239,11693722.125,0.466
"retail","R27","C2",2,"RegInt","SourceEUI",1065,29,29,0.105,0.081,5251.54,72.468,51.615,0.412
"retail","R216","C2",2,"RegInt","SourceEnergy",1065,29,29,0.829,0.824,467357826340450,21618460.314,11433738.467,0.439
"retail","R22","C2",3,"RegInt","SourceEUI",1065,59,64,0.134,0.084,5086.054,71.317,50.46,0.401
"retail","R211","C2",3,"RegInt","SourceEnergy",1065,59,64,0.839,0.83,439664037216890,20968167.236,11053090.875,0.433
"retail","R23","C2",4,"RegInt","SourceEUI",1065,78,99,0.155,0.089,4961.306,70.437,49.534,0.391
"retail","R212","C2",4,"RegInt","SourceEnergy",1065,78,99,0.845,0.833,421869149542515,20539453.487,10837870.425,0.423
"retail","R24","C2",5,"RegInt","SourceEUI",1065,84,120,0.158,0.087,4942.368,70.302,49.171,0.385
"retail","R213","C2",5,"RegInt","SourceEnergy",1065,84,120,0.848,0.835,415657944066759,20387690.994,10675915.405,0.406
"retail","R25","C2",6,"RegInt","SourceEUI",1065,84,127,0.158,0.087,4942.368,70.302,49.171,0.385
"retail","R214","C2",6,"RegInt","SourceEnergy",1065,84,127,0.848,0.835,415657944066759,20387690.994,10675915.405,0.406
"retail","R26","C2",7,"RegInt","SourceEUI",1065,84,128,0.158,0.087,4942.368,70.302,49.171,0.385
"retail","R215","C2",7,"RegInt","SourceEnergy",1065,84,128,0.848,0.835,415657944066759,20387690.994,10675915.405,0.406
"retail","R28","C3a",1,"rpart","SourceEUI",1065,7,7,0.11,0.105,5223.986,72.277,52.231,0.413
"retail","R217","C3a",1,"rpart","SourceEnergy",1065,6,6,0.814,0.813,507747490630634,22533252.997,12597203.73,0.52
"retail","R29","C3b",1,"xgboost_default","SourceEUI",1065,7,7,0.12,0.115,4982.22,70.585,50.549,0.399
"retail","R218","C3b",1,"xgboost_default","SourceEnergy",1065,6,6,0.845,0.845,412000239168135,20297789.022,11265904.784,0.455
"retail","R210","C3b",1,"xgboost_random","SourceEUI",1065,7,7,0.711,0.709,1247.68,35.323,25.469,0.195
"retail","R219","C3b",1,"xgboost_random","SourceEnergy",1065,7,7,0.893,0.893,282066484984129,16794835.069,10438389.439,0.477
"k12school","R2","C1",1,"Reg","SourceEUI",75,8,8,0.342,0.274,2548.48,50.482,37.893,0.38
"k12school","R21","C1",1,"Reg","SourceEnergy",75,8,8,0.59,0.547,32726554588511.9,5720712.769,4100435.793,0.388
"k12school","R27","C2",2,"RegInt","SourceEUI",75,20,29,0.56,0.408,1706.169,41.306,31.754,0.33
"k12school","R216","C2",2,"RegInt","SourceEnergy",75,20,29,0.774,0.696,18055625579599.1,4249191.168,3100186.712,0.329
"k12school","R22","C2",3,"RegInt","SourceEUI",75,30,64,0.685,0.482,1220.057,34.929,27.62,0.278
"k12school","R211","C2",3,"RegInt","SourceEnergy",75,30,64,0.87,0.787,10344869342207.3,3216344.096,2402552.607,0.259
"k12school","R23","C2",4,"RegInt","SourceEUI",75,35,99,0.754,0.545,953.897,30.885,22.481,0.23
"k12school","R212","C2",4,"RegInt","SourceEnergy",75,35,99,0.894,0.804,8465234752420.56,2909507.648,1932590.508,0.21
"k12school","R24","C2",5,"RegInt","SourceEUI",75,36,120,0.768,0.559,900.408,30.007,21.251,0.215
"k12school","R213","C2",5,"RegInt","SourceEnergy",75,36,120,0.897,0.805,8209531664903.73,2865228.03,1844756.492,0.196
"k12school","R25","C2",6,"RegInt","SourceEUI",75,36,127,0.768,0.559,900.408,30.007,21.251,0.215
"k12school","R214","C2",6,"RegInt","SourceEnergy",75,36,127,0.897,0.805,8209531664903.73,2865228.03,1844756.492,0.196
"k12school","R26","C2",7,"RegInt","SourceEUI",75,36,128,0.768,0.559,900.408,30.007,21.251,0.215
"k12school","R215","C2",7,"RegInt","SourceEnergy",75,36,128,0.897,0.805,8209531664903.73,2865228.03,1844756.492,0.196
"k12school","R28","C3a",1,"rpart","SourceEUI",75,5,5,0.308,0.269,2680.461,51.773,37.752,0.358
"k12school","R217","C3a",1,"rpart","SourceEnergy",75,5,5,0.419,0.386,46390187871616.6,6811034.273,5176185.583,0.464
"k12school","R29","C3b",1,"xgboost_default","SourceEUI",75,6,6,0.974,0.972,92.094,9.597,7.25,0.075
"k12school","R218","C3b",1,"xgboost_default","SourceEnergy",75,6,6,0.984,0.983,1170935970198.75,1082097.949,839648.572,0.1
"k12school","R210","C3b",1,"xgboost_random","SourceEUI",75,5,5,0.681,0.662,990.152,31.467,24.75,0.222
"k12school","R219","C3b",1,"xgboost_random","SourceEnergy",75,5,5,0.65,0.63,21981846468455.7,4688480.187,3416372.217,0.283
"warehouse","R2","C1",1,"Reg","SourceEUI",241,8,8,0.049,0.02,4284.094,65.453,47.553,1.086
"warehouse","R21","C1",1,"Reg","SourceEnergy",241,8,8,0.562,0.548,67227577828928.9,8199242.516,5461174.332,1.065
"warehouse","R27","C2",2,"RegInt","SourceEUI",241,25,29,0.098,-0.002,4064.319,63.752,46.06,1.066
"warehouse","R216","C2",2,"RegInt","SourceEnergy",241,25,29,0.643,0.603,54764252358599.5,7400287.316,5145829.308,1.078
"warehouse","R22","C2",3,"RegInt","SourceEUI",241,43,64,0.166,-0.011,3758.324,61.305,43.926,0.976
"warehouse","R211","C2",3,"RegInt","SourceEnergy",241,43,64,0.693,0.628,47013076647774.6,6856608.247,4666539.328,0.966
"warehouse","R23","C2",4,"RegInt","SourceEUI",241,49,99,0.184,-0.02,3675.837,60.629,42.931,0.955
"warehouse","R212","C2",4,"RegInt","SourceEnergy",241,49,99,0.706,0.633,45082450289945.6,6714346.602,4549135.028,0.96
"warehouse","R24","C2",5,"RegInt","SourceEUI",241,50,120,0.185,-0.025,3673.358,60.608,42.892,0.954
"warehouse","R213","C2",5,"RegInt","SourceEnergy",241,50,120,0.706,0.631,45049528055631.2,6711894.521,4543515.075,0.959
"warehouse","R25","C2",6,"RegInt","SourceEUI",241,50,127,0.185,-0.025,3673.358,60.608,42.892,0.954
"warehouse","R214","C2",6,"RegInt","SourceEnergy",241,50,127,0.706,0.631,45049528055631.2,6711894.521,4543515.075,0.959
"warehouse","R26","C2",7,"RegInt","SourceEUI",241,50,128,0.185,-0.025,3673.358,60.608,42.892,0.954
"warehouse","R215","C2",7,"RegInt","SourceEnergy",241,50,128,0.706,0.631,45049528055631.2,6711894.521,4543515.075,0.959
"warehouse","R28","C3a",1,"rpart","SourceEUI",241,0,0,0,0.004,4504.936,67.119,49.516,1.155
"warehouse","R217","C3a",1,"rpart","SourceEnergy",241,5,5,0.367,0.356,97129025220269.8,9855405.888,6078748.078,1.31
"warehouse","R29","C3b",1,"xgboost_default","SourceEUI",241,6,6,0.089,0.07,3721.612,61.005,44.888,1.007
"warehouse","R218","C3b",1,"xgboost_default","SourceEnergy",241,6,6,0.675,0.669,43988900739613,6632412.89,4689925.652,1.052
"warehouse","R210","C3b",1,"xgboost_random","SourceEUI",241,4,4,0.095,0.084,4200.53,64.811,47.101,1.119
"warehouse","R219","C3b",1,"xgboost_random","SourceEnergy",241,5,5,0.045,0.029,127998045030255,11313622.1,5774392.521,0.928
"hotel","R2","C1",1,"Reg","SourceEUI",185,8,8,0.042,0.004,5720.978,75.637,56.859,0.318
"hotel","R21","C1",1,"Reg","SourceEnergy",185,8,8,0.872,0.867,189266719514773,13757424.16,9132875.163,0.324
"hotel","R27","C2",2,"RegInt","SourceEUI",185,29,29,0.209,0.066,4728.072,68.761,50.826,0.274
"hotel","R216","C2",2,"RegInt","SourceEnergy",185,29,29,0.905,0.888,139939555486193,11829605.044,7682773.832,0.29
"hotel","R22","C2",3,"RegInt","SourceEUI",185,62,64,0.435,0.155,3374.483,58.09,39.984,0.211
"hotel","R211","C2",3,"RegInt","SourceEnergy",185,62,64,0.942,0.914,85283335606849.3,9234897.704,5883570.435,0.223
"hotel","R23","C2",4,"RegInt","SourceEUI",185,72,99,0.533,0.24,2789.908,52.82,33.721,0.18
"hotel","R212","C2",4,"RegInt","SourceEnergy",185,72,99,0.951,0.92,72832538375261.1,8534198.168,5171369.492,0.199
"hotel","R24","C2",5,"RegInt","SourceEUI",185,73,120,0.538,0.241,2760.816,52.543,33.325,0.179
"hotel","R213","C2",5,"RegInt","SourceEnergy",185,73,120,0.951,0.92,71754827151824,8470822.106,5108537.76,0.196
"hotel","R25","C2",6,"RegInt","SourceEUI",185,73,127,0.538,0.241,2760.816,52.543,33.325,0.179
"hotel","R214","C2",6,"RegInt","SourceEnergy",185,73,127,0.951,0.92,71754827151824,8470822.106,5108537.76,0.196
"hotel","R26","C2",7,"RegInt","SourceEUI",185,73,128,0.538,0.241,2760.816,52.543,33.325,0.179
"hotel","R215","C2",7,"RegInt","SourceEnergy",185,73,128,0.951,0.92,71754827151824,8470822.106,5108537.76,0.196
"hotel","R28","C3a",1,"rpart","SourceEUI",185,0,0,0,0.005,5973.637,77.289,57.943,0.325
"hotel","R217","C3a",1,"rpart","SourceEnergy",185,7,7,0.867,0.863,196175262148954,14006257.964,8819427.715,0.287
"hotel","R29","C3b",1,"xgboost_default","SourceEUI",185,7,7,0.134,0.105,4549.335,67.449,50.845,0.282
"hotel","R218","C3b",1,"xgboost_default","SourceEnergy",185,7,7,0.958,0.957,59504157189296.7,7713893.776,5493611.836,0.234
"hotel","R210","C3b",1,"xgboost_random","SourceEUI",185,5,5,0.111,0.092,4993.493,70.665,53.558,0.298
"hotel","R219","C3b",1,"xgboost_random","SourceEnergy",185,7,7,0.999,0.999,905632424486.773,951647.216,481915.253,0.016
"worship","R2","C1",1,"Reg","SourceEUI",26,8,8,0.178,-0.141,2212.283,47.035,35.829,0.622
"worship","R21","C1",1,"Reg","SiteEnergy",26,8,8,0.243,-0.051,6553434775291.79,2559967.729,1912513.327,1.793
"worship","R27","C2",2,"RegInt","SourceEUI",26,21,29,0.833,0.167,448.533,21.179,10.554,0.178
"worship","R216","C2",2,"RegInt","SiteEnergy",26,21,29,0.907,0.533,808646909247.519,899247.969,472628.186,0.293
"worship","R22","C2",3,"RegInt","SourceEUI",26,25,64,1,0.991,0.946,0.973,0.392,0.008
"worship","R211","C2",3,"RegInt","SiteEnergy",26,25,64,1,0.997,889627359.327,29826.622,12029.147,0.006
"worship","R23","C2",4,"RegInt","SourceEUI",26,26,99,1,NA,0,0,0,0
"worship","R212","C2",4,"RegInt","SiteEnergy",26,26,99,1,NA,0,0,0,0
"worship","R24","C2",5,"RegInt","SourceEUI",26,26,120,1,NA,0,0,0,0
"worship","R213","C2",5,"RegInt","SiteEnergy",26,26,120,1,NA,0,0,0,0
"worship","R25","C2",6,"RegInt","SourceEUI",26,26,127,1,NA,0,0,0,0
"worship","R214","C2",6,"RegInt","SiteEnergy",26,26,127,1,NA,0,0,0,0
"worship","R26","C2",7,"RegInt","SourceEUI",26,26,128,1,NA,0,0,0,0
"worship","R215","C2",7,"RegInt","SiteEnergy",26,26,128,1,NA,0,0,0,0
"worship","R28","C3a",1,"rpart","SourceEUI",26,0,0,0,0.038,2692.479,51.889,42.283,0.854
"worship","R217","C3a",1,"rpart","SiteEnergy",26,4,4,0.373,0.288,5428814230695.89,2329981.594,1758974.327,1.694
"worship","R29","C3b",1,"xgboost_default","SourceEUI",26,5,5,0.769,0.725,459.401,21.434,16.053,0.202
"worship","R218","C3b",1,"xgboost_default","SiteEnergy",26,7,7,0.804,0.743,1336180166796.91,1155932.596,873659.557,0.619
"worship","R210","C3b",1,"xgboost_random","SourceEUI",26,4,4,0.444,0.368,1265.493,35.574,27.531,0.457
"worship","R219","C3b",1,"xgboost_random","SiteEnergy",26,7,7,1,1,1735924382.504,41664.426,28159.37,0.018
"multifamily","R2","C1",1,"Reg","SourceEUI",8080,8,8,0.074,0.073,1454.775,38.142,28.419,0.274
"multifamily","R21","C1",1,"Reg","SourceEnergy",8080,8,8,0.838,0.838,81088534742665.1,9004917.254,4411131.024,0.294
"multifamily","R27","C2",2,"RegInt","SourceEUI",8080,29,29,0.091,0.088,1426.952,37.775,27.997,0.27
"multifamily","R216","C2",2,"RegInt","SourceEnergy",8080,29,29,0.858,0.857,71381893418505.7,8448780.588,4056033.774,0.271
"multifamily","R22","C2",3,"RegInt","SourceEUI",8080,64,64,0.105,0.098,1405.214,37.486,27.76,0.268
"multifamily","R211","C2",3,"RegInt","SourceEnergy",8080,64,64,0.871,0.87,64751120172510.1,8046808.074,3986828.162,0.273
"multifamily","R23","C2",4,"RegInt","SourceEUI",8080,99,99,0.113,0.102,1392.9,37.322,27.61,0.266
"multifamily","R212","C2",4,"RegInt","SourceEnergy",8080,99,99,0.877,0.876,61675055039098.9,7853346.741,3920871.988,0.271
"multifamily","R24","C2",5,"RegInt","SourceEUI",8080,120,120,0.117,0.104,1386.959,37.242,27.537,0.266
"multifamily","R213","C2",5,"RegInt","SourceEnergy",8080,120,120,0.881,0.879,59736045046401.8,7728909.693,3906927.373,0.271
"multifamily","R25","C2",6,"RegInt","SourceEUI",8080,127,127,0.117,0.103,1386.005,37.229,27.521,0.266
"multifamily","R214","C2",6,"RegInt","SourceEnergy",8080,127,127,0.881,0.879,59499324349496.5,7713580.514,3885974.213,0.27
"multifamily","R26","C2",7,"RegInt","SourceEUI",8080,128,128,0.117,0.103,1385.996,37.229,27.521,0.266
"multifamily","R215","C2",7,"RegInt","SourceEnergy",8080,128,128,0.881,0.879,59499324250502.6,7713580.508,3885971.151,0.27
"multifamily","R28","C3a",1,"rpart","SourceEUI",8080,6,6,0.075,0.075,1452.492,38.112,28.34,0.274
"multifamily","R217","C3a",1,"rpart","SourceEnergy",8080,7,7,0.895,0.895,52452932558308,7242439.683,3296289.912,0.216
"multifamily","R29","C3b",1,"xgboost_default","SourceEUI",8080,7,7,0.17,0.17,1200.698,34.651,25.613,0.248
"multifamily","R218","C3b",1,"xgboost_default","SourceEnergy",8080,7,7,0.923,0.923,37504115953955,6124060.414,3526577.6,0.263
"multifamily","R210","C3b",1,"xgboost_random","SourceEUI",8080,7,7,0.141,0.14,1236.223,35.16,25.952,0.251
"multifamily","R219","C3b",1,"xgboost_random","SourceEnergy",8080,7,7,0.991,0.991,4617667300593.21,2148875.823,1179791.333,0.123
