"SQFT","NFLOOR","NELVTR","NESLTR","EDSEAT","COURT","MONUSE","OPNWE","WKHRS","NWKER","COOK","HEATP","COOLP","SNACK","FASTFD","CAF","FDPREP","KITCHN","BREAKRM","OTFDRM","LABEQP","POOL","HTPOOL","RFGRES","RFGCOMPN","RFGWIN","RFGOPN","RFGCLN","RFGVNN","RFGICN","PCTERMN","LAPTPN","PRNTRN","SERVERN","TRNGRM","STDNRM","WBOARDS","TVVIDEON","RGSTRN","COPIERN","HDD65","CDD65","PBAPLUS","PBA","FINALWT","MFBTU","ELBTU","NGBTU","FKBTU","DHBTU","ONEACT","ACT1","ACT2","ACT3","ACT1PCT","ACT2PCT","ACT3PCT","PRAMTC","PRUNIT","CWUSED","WOUSED","COUSED","SOUSED","PRUSED","ELBTU0","NGBTU0","FKBTU0","DHBTU0","SOURCE_ENERGY","SOURCE_EUI","SITE_EUI","NGBTU_PERCENT","SUMBTU"
370000,2,2,NA,2500,NA,12,2,50,300,1,100,100,1,2,1,1,1,1,2,2,2,NA,1,6,2,NA,NA,NA,NA,1400,20,200,10,1,1,1,5,2,4,1316,3548,29,14,90.622000825,29320511,22989496,6331015,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,64370588.8,6647565.75,NA,NA,71018154.55,191.94,79.24,8.91,29320511
104000,3,1,NA,900,NA,12,1,50,71,1,100,100,1,2,1,1,2,1,2,2,2,NA,2,NA,2,NA,3,6,NA,250,200,50,2,2,1,1,995,6,3,3674,1894,28,14,139.16995492,8310298,4621220,3689078,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,12939416,3873531.9,NA,NA,16812947.9,161.66,79.91,21.94,8310298
41500,1,NA,NA,300,NA,9,2,45,22,1,100,45,2,2,1,2,2,2,2,2,2,NA,1,NA,1,NA,NA,NA,NA,80,12,12,0,2,1,1,NA,NA,4,5569,178,28,14,311.1344891,2415265,994922,1420343,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2785781.6,1491360.15,NA,NA,4277141.75,103.06,58.2,33.21,2415265
81000,2,NA,NA,500,NA,12,2,45,40,1,100,100,2,2,2,1,2,1,2,2,2,NA,2,4,2,NA,NA,3,2,100,88,6,5,2,1,1,4,1,2,2867,1811,29,14,242.08690218,4779341,1694911,3084430,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,4745750.8,3238651.5,NA,NA,7984402.3,98.57,59,38.63,4779341
49500,1,NA,NA,450,NA,12,1,40,55,1,100,100,2,2,2,1,2,1,2,2,2,NA,2,NA,1,NA,NA,NA,1,100,0,5,1,1,1,2,1,NA,1,6297,308,28,14,311.1344891,3659400,1149687,2509713,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,3219123.6,2635198.65,NA,NA,5854322.25,118.27,73.93,42.87,3659400
48000,2,1,NA,450,NA,9,2,90,37,1,100,100,2,2,1,1,2,2,2,2,2,NA,2,NA,2,NA,NA,1,NA,130,40,3,5,1,2,1,17,1,1,4504,1036,28,14,239.38538189,5340528,2042488,3298040,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,5718966.4,3462942,NA,NA,9181908.4,191.29,111.26,35.92,5340528
126000,3,1,NA,225,NA,12,2,50,48,2,90,100,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,227,15,1,2,1,2,3,1,3,3069,1970,28,14,239.38538189,2602186,2200488,401698,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,6161366.4,421782.9,NA,NA,6583149.3,52.25,20.65,6.1,2602186
36000,2,1,NA,300,NA,12,2,40,43,1,100,NA,2,2,1,2,2,1,2,2,2,NA,1,NA,NA,NA,NA,1,NA,20,6,4,0,2,1,1,NA,1,2,4460,1114,28,14,139.16995492,1286338,1286338,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,3601746.4,NA,NA,NA,3601746.4,100.05,35.73,NA,1286338
18750,1,NA,NA,175,NA,9,2,40,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,12,4,2,0,2,2,2,2,NA,NA,402,3830,29,14,1849.1849629,172159,172159,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,482045.2,NA,NA,NA,482045.2,25.71,9.18,NA,172159
250000,4,1,NA,1250,NA,12,1,60,115,2,100,80,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,1,NA,3,2,NA,300,8,22,3,2,1,1,3,2,3,6075,606,29,14,84.055763395,16873435,8145662,8727773,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,22807853.6,9164161.65,NA,NA,31972015.25,127.89,67.49,27.3,16873435
73000,1,NA,NA,500,NA,9,2,50,83,1,100,100,2,2,1,1,2,1,2,2,2,NA,1,24,1,2,2,4,2,346,0,60,0,1,1,1,10,NA,2,1644,3043,28,14,316.26326145,2693760,2518895,174865,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,7052906,183608.25,NA,NA,7236514.25,99.13,36.9,2.42,2693760
235000,2,2,NA,1250,NA,12,1,60,169,1,100,100,1,2,1,1,1,1,2,2,2,NA,1,8,2,NA,4,3,1,335,694,50,1,2,1,1,8,5,10,2786,1723,28,14,84.055763395,29809070,12331487,17477583,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,34528163.6,18351462.15,NA,NA,52879625.75,225.02,126.85,33.05,29809070
64000,2,NA,NA,400,NA,12,2,50,30,1,75,75,1,2,2,2,1,1,2,2,2,NA,1,NA,NA,NA,1,1,1,90,2,5,2,1,2,2,NA,NA,2,6692,169,29,14,138.56608864,3766944,1461206,2305738,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,4091376.8,2421024.9,NA,NA,6512401.7,101.76,58.86,35.41,3766944
88000,1,NA,NA,60,NA,11,2,50,75,1,100,100,2,2,2,1,2,2,2,2,2,NA,2,NA,2,NA,2,NA,1,200,60,6,2,1,1,1,1,1,1,3634,1692,28,14,138.56608864,2907900,2624487,283413,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,7348563.6,297583.65,NA,NA,7646147.25,86.89,33.04,3.71,2907900
54000,3,1,NA,400,NA,12,1,85,45,1,100,100,2,2,1,2,2,2,2,2,2,NA,1,NA,NA,NA,NA,1,NA,60,40,45,0,1,2,1,25,2,3,1454,3954,28,14,385.90781293,2943452,2030792,912660,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,5686217.6,958293,NA,NA,6644510.6,123.05,54.51,13.74,2943452
26500,1,NA,NA,200,NA,12,2,60,30,2,100,100,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,0,60,4,1,2,1,1,15,NA,1,6194,1052,28,14,583.35116997,1257373,716070,541303,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2004996,568368.15,NA,NA,2573364.15,97.11,47.45,21.03,1257373
205000,1,NA,NA,1000,NA,12,1,85,130,1,100,90,1,2,1,1,2,1,2,2,2,NA,1,6,3,1,3,NA,1,325,400,24,8,1,1,1,NA,NA,6,7296,592,29,14,179.59592524,10778895,3719002,7059893,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,10413205.6,7412887.65,NA,NA,17826093.25,86.96,52.58,39.6,10778895
230000,3,3,NA,800,NA,12,1,85,60,1,100,100,2,2,1,2,2,2,2,1,2,NA,1,20,2,NA,3,3,1,50,50,50,75,1,2,1,10,2,3,6164,649,29,14,84.055763395,13553175,5558687,7994488,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,15564323.6,8394212.4,NA,NA,23958536,104.17,58.93,33.37,13553175
26500,1,NA,NA,150,NA,9,2,42,33,2,100,80,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,3,NA,NA,40,44,8,2,2,1,1,11,1,2,6091,451,28,14,499.1203535,1089114,1089114,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,3049519.2,NA,NA,NA,3049519.2,115.08,41.1,NA,1089114
142000,2,1,NA,900,NA,12,1,60,87,1,100,15,2,2,1,1,2,1,2,1,1,1,1,3,3,NA,NA,2,1,150,20,100,80,1,1,1,20,6,3,7628,565,28,14,125.65044,9297386,3392053,5905333,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,9497748.4,6200599.65,NA,NA,15698348.05,110.55,65.47,37.62,9297386
64000,2,NA,NA,300,NA,12,1,45,24,2,100,100,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,65,1,12,2,2,1,2,NA,NA,2,2746,2155,28,14,299.39484032,2989702,2089137,900565,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,5849583.6,945593.25,NA,NA,6795176.85,106.17,46.71,13.25,2989702
55000,3,1,NA,600,NA,9,1,38,40,1,100,5,2,2,1,1,1,1,2,2,2,NA,2,NA,1,NA,1,4,NA,115,25,10,0,1,1,1,10,1,NA,4747,887,29,14,84.055763395,2338151,947021,1391130,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2651658.8,1460686.5,NA,NA,4112345.3,74.77,42.51,33.83,2338151
22000,1,NA,NA,350,NA,9,1,60,30,1,100,100,2,2,1,2,1,1,2,2,2,NA,1,11,NA,2,NA,NA,1,20,6,2,0,2,1,1,5,1,2,5610,583,28,14,503.86330813,2890121,1306291,1583830,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,3657614.8,1663021.5,NA,NA,5320636.3,241.85,131.37,29.77,2890121
17250,1,NA,NA,175,NA,10,2,50,16,2,100,100,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,24,12,12,0,2,2,1,12,NA,NA,2285,2161,29,14,583.35116997,1816848,619145,229703,NA,968000,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1733606,241188.15,NA,1161600,3136394.15,181.82,105.32,7.32,1816848
275000,2,1,NA,1750,NA,12,2,45,202,1,100,70,2,2,1,1,2,2,2,1,1,1,1,2,2,NA,5,6,2,310,440,94,5,1,1,1,88,1,2,5594,618,29,14,125.65044,15671668,7937940,7733728,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,22226232,8120414.4,NA,NA,30346646.4,110.35,56.99,25.48,15671668
126000,1,NA,NA,700,NA,12,1,72,80,1,100,100,2,2,1,2,1,1,2,2,2,NA,1,20,2,6,6,3,3,400,40,100,2,1,1,2,10,2,6,914,3244,29,14,171.86695171,6212596,5461681,750915,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,15292706.8,788460.75,NA,NA,16081167.55,127.63,49.31,4.67,6212596
68000,3,NA,NA,600,NA,12,1,60,100,1,100,100,2,2,1,2,2,1,2,2,2,NA,1,4,2,NA,NA,1,NA,142,36,13,0,1,1,1,4,2,1,6714,878,28,14,242.08690218,3569026,1318741,2250285,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,3692474.8,2362799.25,NA,NA,6055274.05,89.05,52.49,37.16,3569026
68000,1,NA,NA,600,NA,9,2,40,50,1,100,100,2,2,1,1,2,1,2,2,2,NA,2,NA,2,NA,NA,NA,NA,67,0,1,2,1,2,1,3,NA,2,3545,1990,28,14,201.21025436,2487216,2081828,405388,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,5829118.4,425657.4,NA,NA,6254775.8,91.98,36.58,6.48,2487216
67000,1,NA,NA,600,NA,10,2,60,65,1,100,100,2,2,1,1,2,2,2,2,2,NA,2,NA,1,NA,3,1,1,30,40,10,1,2,1,1,30,1,3,3234,1425,28,14,360.21806967,1150032,1150032,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,3220089.6,NA,NA,NA,3220089.6,48.06,17.16,NA,1150032
84000,1,NA,NA,800,NA,10,2,40,82,1,100,100,2,2,1,2,2,1,2,2,2,NA,1,4,1,2,2,2,1,174,100,57,1,1,1,1,20,2,7,3557,1779,28,14,316.08389453,7733974,5126271,2607703,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,14353558.8,2738088.15,NA,NA,17091646.95,203.47,92.07,15.26,7733974
500000,2,3,NA,3000,NA,12,1,80,235,1,75,15,2,2,1,2,2,2,2,2,1,1,1,50,6,3,12,6,1,600,150,500,20,2,1,1,995,8,12,4253,1110,29,14,84.055763395,10492458,9094747,709505,688206,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,25465291.6,744980.25,695088.06,NA,26905359.91,53.81,20.98,2.64,10492458
210000,2,1,NA,2500,NA,12,1,60,140,1,100,100,1,2,1,2,2,1,2,2,2,NA,1,NA,2,NA,8,4,1,100,30,20,5,1,1,1,50,2,6,4103,1541,28,14,84.055763395,12667647,9412862,3254785,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,26356013.6,3417524.25,NA,NA,29773537.85,141.78,60.32,10.93,12667647
67000,1,NA,NA,600,NA,10,1,60,45,2,100,100,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,2,NA,NA,NA,80,2,4,0,1,1,1,12,NA,2,4216,1745,28,14,484.85166373,3824738,2452058,1372680,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,6865762.4,1441314,NA,NA,8307076.4,123.99,57.09,16.52,3824738
73000,2,1,NA,700,NA,12,2,40,50,1,90,75,2,2,1,2,1,1,2,2,2,NA,2,NA,1,NA,NA,1,NA,50,35,15,5,1,1,1,4,NA,3,3859,1509,28,14,356.19828827,4132089,2325950,1622883,183256,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,6512660,1704027.15,185088.56,NA,8401775.71,115.09,56.6,19.32,4132089
142000,2,1,NA,800,NA,12,1,60,125,1,95,30,1,2,1,2,2,1,2,2,2,NA,1,8,2,NA,NA,2,NA,220,60,12,0,1,1,1,50,2,NA,6045,534,28,14,160.42583102,13203072,2968037,10235035,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,8310503.6,10746786.75,NA,NA,19057290.35,134.21,92.98,53.71,13203072
79000,2,1,NA,600,NA,12,2,40,50,1,100,100,1,2,2,2,1,2,2,2,2,NA,2,10,NA,NA,10,8,1,167,20,10,27,1,1,1,24,1,1,5152,865,29,14,239.38538189,2505811,2501549,NA,4262,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,7004337.2,NA,4304.62,NA,7008641.82,88.72,31.72,NA,2505811
260000,3,1,NA,1000,NA,10,2,50,100,1,100,80,1,2,1,2,2,2,2,1,1,1,1,NA,2,NA,6,4,1,500,1420,50,10,1,1,1,50,3,10,6409,961,29,14,84.055763395,10918589,8556989,2361600,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,23959569.2,2479680,NA,NA,26439249.2,101.69,41.99,8.93,10918589
116000,2,1,NA,1250,NA,11,2,50,85,1,100,100,2,2,1,2,2,2,2,2,2,NA,1,20,2,NA,NA,NA,1,290,7,14,3,2,1,1,68,1,3,365,3383,28,14,171.86695171,4256136,4158761,97375,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,11644530.8,102243.75,NA,NA,11746774.55,101.27,36.69,0.83,4256136
37500,2,1,NA,600,NA,12,2,50,20,2,90,95,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,80,3,3,1,2,1,1,15,NA,2,1123,4892,28,14,624.95414063,2877474,2693794,183680,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,7542623.2,192864,NA,NA,7735487.2,206.28,76.73,2.37,2877474
335000,2,NA,NA,2500,NA,12,1,80,300,1,85,85,2,2,1,1,2,2,2,2,2,NA,2,NA,2,NA,NA,NA,NA,420,58,30,9,2,1,1,NA,2,8,296,3581,29,14,90.622000825,13616622,13080854,535768,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,36626391.2,562556.4,NA,NA,37188947.6,111.01,40.65,1.44,13616622
136000,2,1,NA,1000,NA,12,2,40,83,1,100,90,2,2,1,1,2,1,2,2,2,NA,1,NA,2,4,5,8,3,550,100,75,0,2,2,1,50,4,7,4366,1211,28,14,271.01509096,5614179,5344809,269370,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,14965465.2,282838.5,NA,NA,15248303.7,112.12,41.28,1.77,5614179
3100,1,NA,NA,45,NA,10,2,35,3,2,90,90,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,6,1,2,0,2,1,1,NA,NA,NA,2367,1051,28,14,1849.1849629,60444,60444,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,169243.2,NA,NA,NA,169243.2,54.59,19.5,NA,60444
136000,1,NA,NA,1500,NA,10,1,45,124,1,100,100,2,2,1,2,2,1,2,2,2,NA,1,4,1,2,2,2,1,174,100,57,1,1,1,1,100,2,7,3944,1524,28,14,366.15594072,13172594,7695404,5477190,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,21547131.2,5751049.5,NA,NA,27298180.7,200.72,96.86,20.06,13172594
22000,1,NA,NA,350,NA,12,2,50,20,2,100,100,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,70,14,2,0,2,2,1,14,NA,2,1370,1366,28,14,316.26326145,1059851,819283,240568,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2293992.4,252596.4,NA,NA,2546588.8,115.75,48.18,9.45,1059851
172000,2,1,NA,1250,NA,9,1,70,60,1,100,100,1,2,1,1,2,1,2,2,2,NA,1,NA,1,3,NA,NA,1,400,60,15,1,2,1,1,NA,3,6,2049,2409,28,14,362.06989684,6318824,3859951,2458873,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,10807862.8,2581816.65,NA,NA,13389679.45,77.85,36.74,18.36,6318824
225000,2,1,NA,1250,NA,12,1,65,60,1,95,95,2,2,1,2,2,2,2,1,2,NA,2,NA,2,NA,NA,6,NA,600,50,20,1,2,1,1,2,2,5,2850,2096,29,14,15.945623796,7071980,3360967,3711013,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,9410707.6,3896563.65,NA,NA,13307271.25,59.14,31.43,27.89,7071980
80000,3,NA,NA,250,NA,12,1,105,47,1,33,66,1,2,2,1,2,1,2,2,2,NA,2,NA,NA,NA,5,NA,NA,50,8,50,60,1,1,1,4,NA,2,1432,770,28,14,336.40197304,2223864,681956,1541908,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1909476.8,1619003.4,NA,NA,3528480.2,44.11,27.8,43.7,2223864
116000,1,NA,NA,900,NA,12,2,40,92,1,100,100,2,2,1,1,2,1,2,2,2,NA,1,30,2,NA,NA,1,NA,150,120,50,2,1,2,1,50,4,3,2810,2377,28,14,138.56608864,3996508,3010868,985640,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,8430430.4,1034922,NA,NA,9465352.4,81.6,34.45,10.41,3996508
67000,1,NA,NA,800,NA,12,2,50,65,1,100,100,2,2,1,1,2,2,2,2,2,NA,1,14,2,2,3,4,2,180,12,6,3,1,1,1,60,3,2,1999,2802,28,14,209.09996186,2555195,2271065,284130,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,6358982,298336.5,NA,NA,6657318.5,99.36,38.14,4.27,2555195
33500,1,NA,NA,350,NA,10,2,50,20,2,100,100,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,4,NA,10,12,1,1,2,2,2,NA,NA,NA,2773,2016,29,14,84.055763395,2126552,935297,1191255,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2618831.6,1250817.75,NA,NA,3869649.35,115.51,63.48,30.78,2126552
77000,6,NA,NA,800,NA,10,1,59,80,1,100,100,2,2,1,1,2,2,2,2,2,NA,1,2,NA,NA,NA,NA,NA,80,60,30,0,2,1,2,NA,NA,3,3713,1278,28,14,212.42624205,6326359,1347245,4635973,343141,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,3772286,4867771.65,346572.41,NA,8986630.06,116.71,82.16,51.59,6326359
67000,1,NA,NA,350,NA,12,1,96,42,1,100,82,1,2,1,2,1,1,2,2,2,NA,2,NA,3,NA,NA,NA,1,100,200,6,6,2,1,2,22,NA,1,5564,1049,29,14,139.16995492,5517834,2988134,2529700,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,8366775.2,2656185,NA,NA,11022960.2,164.52,82.36,22.95,5517834
38000,2,NA,NA,600,NA,12,1,85,25,2,NA,100,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,1,NA,40,25,5,0,1,2,2,2,NA,1,93,4295,29,14,259.35186162,1898594,1898594,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,2,2,2,2,1,5316063.2,NA,NA,NA,5316063.2,139.9,49.96,NA,1898594
95000,2,1,NA,500,NA,11,2,50,64,1,100,100,2,2,1,2,2,2,2,2,2,NA,1,20,2,NA,NA,NA,NA,255,35,13,3,2,1,1,41,2,3,422,3739,28,14,392.2691563,4041371,4041371,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,1,2,2,2,2,1,11315838.8,NA,NA,NA,11315838.8,119.11,42.54,NA,4041371
215000,1,NA,NA,1500,NA,12,1,60,60,1,90,95,2,2,1,1,2,2,2,2,2,NA,1,NA,2,NA,NA,6,3,100,40,50,4,1,1,1,60,2,5,5692,406,29,14,84.58932707,9949413,4095185,5852853,1375,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,11466518,6145495.65,1388.75,NA,17613402.4,81.92,46.28,33.23,9949413
